company_permalink,angel,convertible_note,debt_financing,post_ipo_equity,private_equity,seed,undisclosed,venture,A,B,C,D,E,F,G,H,sum(raised_amount_usd)
/organization/t2-biosystems,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,78000000
/organization/solar-power-technologies,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6077370
/organization/surfkitchen,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,34914119
/organization/sulia,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,11000000
/organization/university-cleats,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1500000
/organization/wahanda,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,107796826
/organization/threadflip,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,19500000
/organization/sejent,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1000000
/organization/qwiki,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8000000
/organization/vendavo,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,21000000
/organization/whittl,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3300000
/organization/zagster,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3500000
/organization/rio-grande-neurosciences,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1050065
/organization/topigen-pharmaceuticals,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5097865
/organization/noitom,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,25000000
/organization/aa-carpooling-website,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1623640
/organization/axeda,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5000000
/organization/cymbet,0,0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,65793110
/organization/etohum,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1200000
/organization/centrepath,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,134050000
/organization/handscape,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2000000
/organization/geo-semiconductor,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1000000
/organization/adama-materials,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4750000
/organization/inventables,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,10000000
/organization/altus-pharmaceuticals,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,51000000
/organization/mediabrix,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,11500000
/organization/precision-nanosystem,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13400000
/organization/clean-chemistry,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2200000
/organization/ellevest,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10000000
/organization/fatdoor,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5500000
/organization/mamapedia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4600000
/organization/adaptive-ozone-solutions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3750000
/organization/appnomic,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,11700000
/organization/clickability,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8000000
/organization/appear-here,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7500000
/organization/emotient,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6000000
/organization/kncminer,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,29000000
/organization/fidelis-seniorcare,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20500000
/organization/on-ramp-wireless,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,65000000
/organization/ceterus-networks,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20000000
/organization/ifonly,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12000000
/organization/concept-io,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5400000
/organization/k-motion-interactive,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2000000
/organization/podbridge,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8500000
/organization/ecourier,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,9826291
/organization/playbuzz,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,19000000
/organization/componentsource,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12000000
/organization/insync,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,12399999
/organization/icrtec,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10000000
/organization/open-services,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8000000
/organization/imperito-networks,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28000000
/organization/amino,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,26400000
